,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
113,The Valley,40,AI,1563420141,78,18.22,-63.06,82.99,10.29
114,Buraydah,0,SA,1563420143,41,26.33,43.97,78.8,8.05
115,Mingaora,4,PK,1563420144,74,34.78,72.36,71.69,2.62
116,Port Hedland,0,AU,1563420145,14,-20.31,118.58,78.8,17.22
117,Westport,20,US,1563420147,94,41.14,-73.36,75.0,1.5
118,Raymond,40,CA,1563420148,42,49.47,-112.67,68.0,17.22
119,Torbay,90,CA,1563420150,82,47.66,-52.73,62.01,11.41
120,Bluff,0,AU,1563420151,29,-23.58,149.07,67.19,2.77
121,Ilulissat,100,GL,1563420152,93,69.22,-51.1,44.6,1.12
122,Atambua,100,ID,1563420153,66,-9.11,124.89,78.17,8.28
123,Pisco,0,PE,1563420155,87,-13.71,-76.2,60.8,10.29
124,Launceston,100,AU,1563420156,65,-41.43,147.14,52.0,14.99
125,Labuhan,89,ID,1563420157,53,-2.54,115.51,89.51,1.61
126,Mar del Plata,43,AR,1563420158,78,-46.43,-67.52,36.59,20.76
127,Yellowknife,75,CA,1563420160,47,62.45,-114.38,77.0,10.29
128,Grindavik,0,IS,1563420161,93,63.84,-22.43,51.8,13.87
129,Ha Tinh,92,VN,1563420163,48,18.33,105.9,94.55,4.23
130,Lipin Bor,100,RU,1563420164,97,60.26,37.97,57.29,7.92
131,Lagoa,0,PT,1563420165,68,37.14,-8.45,69.8,6.93
132,Palmer,75,AU,1563420167,82,-34.85,139.16,57.99,16.11
133,Tomar do Geru,16,BR,1563420168,90,-11.38,-37.84,64.31,3.27
134,Port Alfred,46,ZA,1563420169,58,-33.59,26.89,57.99,9.35
135,Castro,40,CL,1563420171,87,-42.48,-73.76,44.6,11.41
136,Vardo,1,US,1563420172,94,39.62,-77.74,77.0,2.44
137,Zemio,100,CF,1563420173,97,5.02,25.13,65.93,2.08
138,Cherskiy,94,RU,1563420174,50,68.75,161.3,45.77,8.9
139,Shingu,75,JP,1563420176,83,33.72,135.99,82.4,10.29
140,San Carlos de Bariloche,75,AR,1563420136,82,-41.13,-71.31,35.6,20.8
141,Kedrovyy,0,RU,1563420178,60,56.17,91.82,71.6,6.71
142,Chokurdakh,96,RU,1563420088,60,70.62,147.9,43.79,8.84
143,Havre,90,US,1563420181,27,48.55,-109.68,75.2,14.99
144,Resplendor,86,BR,1563420182,76,-19.33,-41.26,61.07,2.95
145,Berdigestyakh,100,RU,1563419917,75,62.1,126.7,55.67,7.92
146,Sheltozero,100,RU,1563420184,93,61.37,35.37,57.47,9.78
147,Nikolskoye,90,RU,1563420185,88,59.7,30.79,62.6,6.71
148,Upernavik,100,GL,1563420186,86,72.79,-56.15,45.23,10.96
149,Ust-Maya,100,RU,1563420188,96,60.42,134.54,59.27,4.14
150,Vuktyl,100,RU,1563420189,93,63.86,57.31,49.55,15.7
151,Sitka,0,US,1563420067,47,37.17,-99.65,87.01,11.01
152,Dong Hoi,90,VN,1563420191,56,17.48,106.6,90.77,5.28
153,Coquimbo,0,CL,1563420193,93,-29.95,-71.34,48.2,3.36
154,Iracoubo,100,GF,1563420194,95,5.48,-53.21,75.29,4.03
155,Vao,0,EE,1563420196,86,59.1,26.19,57.47,6.58
156,Miri,100,NG,1563420197,87,10.31,9.75,72.95,1.63
157,Walvis Bay,0,NA,1563420198,25,-22.95,14.51,66.2,2.24
158,San Patricio,0,PY,1563420199,87,-26.98,-56.83,52.25,6.2
159,Soyo,100,AO,1563420201,94,-6.13,12.37,70.61,5.68
160,Bagdarin,100,RU,1563420202,44,54.44,113.59,77.27,6.4
161,Touros,20,BR,1563420203,100,-5.2,-35.46,73.4,4.7
162,Lingyuan,4,CN,1563420205,38,41.24,119.4,87.35,2.55
163,Kudahuvadhoo,100,MV,1563420206,71,2.67,72.89,82.67,18.72
164,Georgetown,40,GY,1563420159,100,6.8,-58.16,75.2,4.7
165,Paracuru,40,BR,1563420208,78,-3.41,-39.03,86.0,6.93
166,Suoyarvi,100,RU,1563420209,92,62.08,32.35,53.87,5.1
167,Ola,100,RU,1563420200,98,59.58,151.3,48.47,8.28
168,Merauke,77,ID,1563420212,83,-8.49,140.4,78.17,19.01
169,Anse-Bertrand,20,GP,1563420213,78,16.47,-61.51,80.6,8.05
170,Champerico,75,MX,1563420215,78,16.38,-93.6,78.8,6.4
171,Mundra,22,IN,1563420216,67,22.84,69.73,84.47,16.6
172,Goderich,0,CA,1563420217,90,43.74,-81.71,68.0,10.6
173,La Florida,0,AR,1563420219,87,-26.82,-65.1,51.8,3.15
174,Qaqortoq,100,GL,1563420055,71,60.72,-46.03,50.0,5.82
175,Tezu,0,IN,1563420222,57,27.93,96.16,86.09,3.04
176,Lawton,1,US,1563419990,66,34.61,-98.39,87.8,12.75
177,Road Town,40,VG,1563419955,74,18.42,-64.62,82.4,10.29
178,Bambous Virieux,40,MU,1563420226,56,-20.34,57.76,71.6,17.22
179,De Aar,100,ZA,1563420227,28,-30.65,24.01,48.11,6.62
180,Klaksvik,50,FO,1563420228,100,62.23,-6.59,50.0,6.93
181,Luoyang,84,CN,1563420229,59,34.66,112.42,78.17,5.03
182,Zhuhai,95,CN,1563420231,69,40.71,112.04,77.0,4.47
183,Goulburn,49,AU,1563420232,72,-34.75,149.72,55.0,4.0
184,Yeniseysk,100,RU,1563420233,80,58.45,92.17,68.99,6.31
185,Marienburg,0,DE,1563420235,87,52.12,9.98,57.99,1.12
186,Mayo,75,CA,1563420096,24,63.59,-135.9,78.8,2.24
187,Port Moresby,100,PG,1563420237,86,-9.47,147.16,76.55,24.99
188,Ridgecrest,10,US,1563420239,27,35.62,-117.67,90.0,8.99
189,LUGOBA,39,TZ,1563420240,93,-6.46,38.33,64.49,3.29
190,Yar-Sale,83,RU,1563420242,60,66.83,70.83,71.87,14.16
191,Macia,0,MZ,1563420243,56,-25.03,33.09,56.57,5.32
192,Saint George,75,GR,1563420245,88,39.45,22.34,69.01,1.88
193,Bemidji,1,US,1563420246,83,47.48,-94.89,73.4,5.82
194,Lardos,20,GR,1563420247,78,36.09,28.02,73.4,5.82
195,Pochutla,75,MX,1563420248,83,15.74,-96.47,80.6,6.93
196,Semporna,75,MY,1563420250,70,4.48,118.61,87.8,6.93
197,Tiksi,100,RU,1563420123,85,71.64,128.87,38.93,12.26
198,Pemba,0,MZ,1563420252,84,-12.97,40.52,70.79,13.11
199,Boende,52,CD,1563420254,92,-0.28,20.88,72.23,1.74
200,Mount Gambier,40,AU,1563420255,81,-37.83,140.78,53.6,14.99
201,Strezhevoy,0,RU,1563420256,60,60.73,77.6,75.2,3.71
202,Hun,0,BE,1563420257,72,50.34,4.87,62.6,6.93
203,Rothenbach,1,DE,1563420258,82,50.56,7.9,59.0,1.83
204,Laguna,40,BZ,1563420260,88,16.17,-88.94,80.6,6.93
205,Kedgwick,0,CA,1563420261,68,47.65,-67.35,53.87,6.49
206,Jacareacanga,0,BR,1563420113,56,-6.22,-57.76,76.19,2.64
207,Arraial do Cabo,99,BR,1563420264,77,-22.97,-42.02,65.75,9.98
208,Jilib,10,SO,1563420266,93,0.49,42.79,70.43,4.79
209,Conceicao do Araguaia,0,BR,1563420267,43,-8.26,-49.26,73.85,1.12
210,Alasehir,0,TR,1563420268,84,38.35,28.52,61.43,3.74
211,Komatipoort,0,MZ,1563420270,53,-25.43,31.96,53.01,1.12
212,Praxedis Guerrero,90,MX,1563420271,51,31.37,-106.02,86.0,11.41
213,Fallon,1,US,1563420272,82,46.84,-105.12,68.0,3.09
214,Fernie,75,CA,1563420273,63,49.5,-115.06,60.8,16.11
215,Maraba,0,BR,1563420275,94,-5.35,-49.1,75.2,2.24
216,Midland,75,US,1563420276,57,32.0,-102.08,88.0,19.46
217,Turukhansk,0,RU,1563420277,54,65.8,87.96,74.57,15.12
218,Macae,90,BR,1563420244,93,-22.37,-41.79,60.8,4.7
219,Zyryanovsk,36,KZ,1563420059,64,49.74,84.27,67.01,4.23
220,Fort Smith,1,US,1563420281,78,35.39,-94.42,82.4,4.7
221,Esperance,89,AU,1563420282,100,-33.86,121.89,55.4,5.82
222,Assiniboia,36,CA,1563420283,62,49.63,-105.99,64.13,1.81
223,Sheridan,20,US,1563420284,36,39.65,-105.03,82.99,16.11
224,San Quintin,100,PH,1563420286,91,17.54,120.52,77.81,20.2
225,Cape Town,75,ZA,1563420287,93,-33.93,18.42,57.99,18.34
226,Constitucion,90,MX,1563420288,40,23.99,-104.67,71.6,11.41
227,Ambilobe,78,MG,1563420075,66,-13.19,49.05,65.21,7.61
228,Bumba,100,CD,1563420291,94,2.18,22.47,70.97,1.9
229,Iqaluit,75,CA,1563420135,71,63.75,-68.52,51.8,2.24
230,Ambunti,63,PG,1563420293,51,-4.22,142.82,93.11,0.98
231,Gushikawa,75,JP,1563420294,88,26.35,127.87,84.0,20.8
232,Fairbanks,40,US,1563420255,49,64.84,-147.72,78.01,5.82
233,Oranjemund,0,ZA,1563420297,73,-28.55,16.43,55.67,5.12
234,Axim,72,GH,1563420165,91,4.87,-2.24,74.93,8.19
235,Kon Tum,100,VN,1563420299,74,14.36,108.0,78.71,3.29
236,Codrington,0,AU,1563420301,30,-28.95,153.24,68.0,4.7
237,Diamantino,10,BR,1563420302,53,-14.4,-56.44,72.41,2.33
238,Te Anau,100,NZ,1563420304,89,-45.41,167.72,41.81,1.99
239,Sosva,67,RU,1563420305,69,59.17,61.86,59.45,8.41
240,Peruibe,40,BR,1563420080,99,-24.32,-47.0,52.79,2.06
241,Moussoro,87,TD,1563420308,55,13.64,16.49,85.01,15.43
242,Yurga,49,RU,1563420309,73,55.71,84.93,67.37,3.42
243,Tomohon,20,ID,1563420311,55,1.33,124.84,89.6,8.05
244,Zhigansk,0,RU,1563420312,42,66.77,123.37,55.49,31.9
245,Matara,0,BI,1563420313,84,-3.48,29.48,48.11,0.54
246,San Ramon,100,NI,1563420314,95,12.92,-85.84,67.55,6.22
247,Bubaque,100,GW,1563420316,89,11.28,-15.83,77.45,12.08
248,Uni,69,RU,1563420317,78,57.75,51.49,57.11,8.48
249,Tuatapere,100,NZ,1563420318,77,-46.13,167.69,51.01,14.2
250,Dzilam Gonzalez,100,MX,1563420320,82,21.28,-88.93,81.95,18.37
251,Inta,100,RU,1563420321,95,66.04,60.13,48.65,14.0
252,Teknaf,0,BD,1563420322,80,20.86,92.31,84.83,14.38
253,Komsomolskiy,100,RU,1563420323,94,67.55,63.78,60.53,14.0
254,Bayonne,75,FR,1563420325,72,43.49,-1.48,68.0,4.7
255,Ambon,0,FR,1563420326,87,47.55,-2.56,64.99,2.24
256,Palana,100,RU,1563420327,92,59.08,159.95,48.83,22.86
257,Taltal,9,CL,1563420328,83,-25.41,-70.49,49.55,2.73
258,Yenangyaung,47,MM,1563420330,71,20.46,94.87,86.81,5.46
259,Bilma,17,NE,1563420331,23,18.69,12.92,92.03,13.98
260,Boyolangu,61,ID,1563420332,63,-8.09,111.9,78.89,7.54
261,Longyearbyen,75,NO,1563420333,70,78.22,15.63,44.6,4.7
262,Izazi,20,TZ,1563420334,67,-7.24,35.72,59.0,10.29
263,Kahului,40,US,1563420336,51,20.89,-156.47,86.0,24.16
264,Kaohsiung,75,TW,1563420308,84,22.62,120.31,89.6,9.17
265,Galbshtadt,97,RU,1563420338,64,53.23,78.98,70.25,9.04
266,Turbat,93,PK,1563420339,67,26.0,63.05,82.13,4.72
267,Marevo,0,BA,1563420341,93,43.57,18.7,53.6,1.12
268,Harper,1,US,1563420342,58,30.3,-99.24,84.0,8.05
269,Mount Kisco,90,US,1563420343,94,41.2,-73.73,75.2,8.05
270,Muyezerskiy,100,RU,1563420344,82,63.93,31.65,52.79,4.88
271,Buala,3,SB,1563420346,79,-8.15,159.59,81.95,10.85
272,Ayan,0,IR,1563420347,38,38.23,44.7,73.4,4.7
273,Teguise,90,ES,1563420348,68,29.06,-13.56,69.8,21.92
274,Potam,100,MX,1563420349,65,27.6,-110.38,87.01,5.01
275,Lufilufi,75,WS,1563420351,88,-13.87,-171.6,86.0,3.36
276,Albania,88,CO,1563420352,84,5.76,-73.91,66.65,4.76
277,Minyar,24,RU,1563420353,78,55.07,57.55,65.93,3.4
278,Havre-Saint-Pierre,20,CA,1563420088,55,50.23,-63.6,60.8,10.29
279,Veraval,75,FR,1563420356,100,49.65,0.71,57.99,3.36
280,Khatanga,0,RU,1563420357,42,71.98,102.47,64.13,5.53
281,Thompson,90,CA,1563420358,53,55.74,-97.86,71.6,2.24
282,Bulgan,100,MN,1563420359,74,48.81,103.53,69.35,2.95
283,Anderson,20,US,1563420360,83,34.51,-82.65,78.8,5.82
284,Mutum,24,BR,1563420362,89,-19.82,-41.44,54.41,3.62
285,Rivne,0,UA,1563420363,100,50.62,26.25,52.0,6.71
286,Narimanov,0,RU,1563420364,53,46.69,47.85,75.2,8.95
287,Luanda,75,AO,1563420243,94,-8.83,13.24,68.0,2.24
288,Ziro,40,IN,1563420367,84,27.54,93.82,86.0,3.36
289,Dewas,75,IN,1563420368,83,22.96,76.05,78.8,10.29
290,Melfi,20,IT,1563420370,87,41.0,15.66,57.2,3.36
291,Cabo San Lucas,5,MX,1563420202,65,22.89,-109.91,86.0,13.87
292,Olinda,100,AU,1563420372,58,-37.84,145.39,57.99,12.75
293,Itarema,93,BR,1563420373,84,-2.92,-39.92,76.19,6.82
294,Hanna,100,CA,1563420374,64,51.64,-111.93,64.99,3.0
295,Jalingo,100,NG,1563420376,90,10.3,10.93,74.57,6.24
296,Namibe,0,AO,1563420377,76,-15.19,12.15,68.99,7.83
297,Vung Tau,85,VN,1563420355,80,10.35,107.08,83.21,9.28
298,Port Blair,75,IN,1563420379,79,11.67,92.75,86.0,5.82
299,Truth or Consequences,1,US,1563420381,21,33.13,-107.25,89.6,8.05
300,Sibolga,97,ID,1563420382,76,1.74,98.78,81.41,5.75
301,Dingle,92,PH,1563420383,73,11.0,122.67,83.21,18.97
302,Saint-Joseph,90,FR,1563420384,88,43.56,6.97,70.0,3.36
303,Bathsheba,75,BB,1563420281,78,13.22,-59.52,82.4,14.99
304,Agadir,20,MA,1563420387,82,30.42,-9.58,64.4,8.05
305,Kandrian,43,PG,1563420388,85,-6.21,149.55,79.25,9.6
306,Padilla,40,CO,1563420389,73,3.23,-76.31,73.4,6.93
307,Nyurba,0,RU,1563420390,42,63.29,118.35,60.53,11.65
308,Bereda,2,ES,1563420392,93,43.27,-7.54,57.2,5.82
309,Chiclana,67,AR,1563420393,78,-35.73,-61.75,53.15,8.93
310,Cosamaloapan,100,MX,1563420394,77,18.36,-95.8,81.0,1.59
311,Luena,0,AO,1563420395,57,-11.78,19.91,47.93,3.71
312,Ossora,83,RU,1563420397,66,59.24,163.07,65.75,3.22
313,Buchanan,75,LR,1563420398,94,5.88,-10.05,75.2,14.09
314,Pokhara,0,NP,1563420399,77,28.21,83.99,62.87,4.32
315,Coahuayana,100,MX,1563420400,90,18.62,-100.35,72.59,3.91
316,Rundu,0,NA,1563420402,43,-17.91,19.77,55.4,4.7
317,Clyde River,90,CA,1563420403,100,70.47,-68.59,37.4,6.93
318,Prieska,0,ZA,1563420404,20,-29.67,22.74,48.11,7.74
319,Portland,40,US,1563420190,88,43.66,-70.25,73.99,2.89
320,Det Udom,20,TH,1563420407,74,14.9,105.08,86.0,5.82
321,Rincon,40,PA,1563420408,94,8.46,-82.28,80.6,0.89
322,Northam,75,AU,1563420409,82,-31.65,116.67,59.0,6.06
323,Linhares,62,BR,1563420411,79,-19.38,-40.06,59.99,1.97
324,Kodiak,1,US,1563420412,62,39.95,-94.76,87.8,11.41
325,Oudtshoorn,0,ZA,1563420413,43,-33.59,22.2,60.8,5.82
326,Burnie,100,AU,1563420415,58,-41.05,145.91,54.0,3.0
327,Victoria,75,BN,1563420226,79,5.28,115.24,87.8,3.36
328,Zaysan,100,KZ,1563420417,18,47.47,84.87,85.01,3.44
329,Tenenkou,2,ML,1563420419,52,14.46,-4.91,86.99,16.13
330,Khuzdar,96,PK,1563420420,32,27.8,66.62,81.95,4.0
331,Sumbe,37,AO,1563420421,87,-11.2,13.84,69.35,3.06
332,Beira,0,ES,1563420423,93,43.2,-8.36,61.0,5.82
333,Santa Cruz Cabralia,75,BR,1563420424,88,-16.28,-39.02,68.0,4.7
334,Xining,100,CN,1563420425,78,36.62,101.77,55.49,1.19
335,Revda,7,RU,1563420426,73,67.94,34.55,50.09,3.09
336,Kissidougou,100,GN,1563420428,99,9.19,-10.1,68.81,2.19
337,Grand Island,1,US,1563420429,83,40.92,-98.34,87.8,6.93
338,Arang,100,IN,1563420430,51,21.2,81.97,88.97,5.37
339,Micheweni,0,TZ,1563420432,79,-4.97,39.83,76.55,20.07
340,Jian,13,IN,1563420433,58,25.65,87.89,92.21,2.73
341,Sao Joao da Barra,23,BR,1563420434,87,-21.64,-41.05,58.91,3.76
342,Severo-Kurilsk,99,RU,1563420435,97,50.68,156.12,44.87,7.45
343,Kuznechnoye,100,RU,1563420436,97,61.12,29.87,59.0,4.68
344,Zhangjiakou,7,CN,1563420438,65,40.77,114.88,72.77,6.2
345,East Peoria,1,US,1563420439,78,40.67,-89.58,79.0,8.05
346,Susurluk,40,TR,1563420441,93,39.91,28.16,66.99,4.7
347,Carbonia,0,IT,1563420442,88,39.17,8.53,68.0,6.93
348,Shahrud,0,IR,1563420443,23,36.42,54.97,66.47,6.71
349,Chicama,90,PE,1563420444,88,-7.84,-79.15,62.6,10.29
350,Voerde,0,DE,1563420446,82,51.6,6.68,62.01,6.93
351,Hammerfest,100,NO,1563420447,87,70.66,23.68,44.6,5.82
352,Hefei,90,CN,1563420448,83,31.82,117.22,80.6,8.95
353,Muros,20,ES,1563420449,93,42.77,-9.06,64.0,4.7
354,Sjovegan,47,NO,1563420451,81,68.87,17.85,48.99,4.7
355,Saint-Pierre,0,FR,1563420452,63,48.95,4.24,62.6,3.36
356,Ribnitz-Damgarten,20,DE,1563420454,93,54.24,12.43,51.01,1.12
357,Baruun-Urt,30,MN,1563420455,40,46.68,113.28,82.49,7.11
358,Bariri,0,BR,1563420456,100,-22.07,-48.74,57.2,13.87
359,Mitchell,1,US,1563420457,83,43.71,-98.03,78.8,5.82
360,Puerto del Rosario,90,ES,1563420458,73,28.5,-13.86,69.8,18.34
361,Kardla,12,EE,1563420459,93,58.44,26.57,57.0,4.7
362,Inhambane,0,MZ,1563420461,84,-23.87,35.38,57.11,5.66
363,Provideniya,75,RU,1563420462,72,64.42,-173.23,59.0,20.13
364,Kavaratti,100,IN,1563420463,73,10.57,72.64,83.39,25.97
365,Seoul,20,KR,1563420205,62,37.57,126.98,86.0,3.36
366,Baiquan,29,CN,1563420466,62,47.61,126.08,79.25,4.05
367,Kakinada,75,IN,1563420368,59,16.93,82.22,89.6,4.7
368,Flagstaff,1,US,1563420408,35,35.2,-111.65,89.01,8.05
369,Hambantota,75,LK,1563420469,74,6.12,81.12,86.0,19.46
370,Segovia,0,ES,1563420471,56,40.95,-4.12,73.4,3.36
371,Luza,100,RU,1563420472,65,60.63,47.26,57.65,6.87
372,Nanortalik,100,GL,1563420473,95,60.14,-45.24,41.45,1.23
373,Viedma,100,AR,1563420474,39,-40.81,-62.99,55.31,20.71
374,Blackwater,67,GB,1563420352,93,51.33,-0.78,63.0,5.82
375,Guanay,71,BO,1563420476,98,-15.5,-67.88,61.79,1.3
